ZÃ¼rich HB,ZÃ¼rich Wiedikon,ZÃ¼rich Enge,ZÃ¼rich Wollishofen,Kilchberg,RÃ¼schlikon,Thalwil,Oberrieden,Horgen,Au ZH,WÃ¤denswil,Richterswil,BÃ¤ch,Freienbach SBB,PfÃ¤ffikon SZ,Altendorf,Lachen,Siebnen-Wangen,SchÃ¼belbach-Buttikon,Reichenburg,Bilten,ZiegelbrÃ¼cke,MÃ¼hlehorn,Murg,Untererzen,Mols,Walenstadt,Flums,Mels,Sargans,Bad Ragaz,Maienfeld,Landquart,Chur
0.00,2.70,3.60,5.50,8.30,10.30,11.50,13.60,16.10,20.10,23.30,26.80,28.70,31.00,32.80,36.40,38.80,42.70,45.80,49.20,53.50,56.40,65.40,68.70,71.80,73.50,76.40,80.10,87.30,89.60,95.60,97.60,102.30,115.20
2.70,0.00,0.90,2.80,5.60,7.60,8.80,10.90,13.40,17.40,20.60,24.10,26.00,28.30,30.10,33.70,36.10,40.00,43.10,46.50,50.80,53.70,62.70,66.00,69.10,70.80,70.80,74.50,81.70,84.00,90.00,92.00,96.70,109.60
3.60,0.90,0.00,1.90,4.70,6.70,7.90,10.00,12.50,16.50,19.70,23.20,25.10,27.40,29.20,32.80,35.20,39.10,42.20,45.60,49.90,52.80,61.80,65.10,68.20,69.90,69.90,73.60,80.80,83.10,89.10,91.10,95.80,108.70
5.50,2.80,1.90,0.00,2.80,4.80,6.00,8.10,10.60,14.60,17.80,21.30,23.20,25.50,27.30,30.90,33.30,37.20,40.30,43.70,48.00,50.90,59.90,63.20,66.30,68.00,68.00,71.70,78.90,81.20,87.20,89.20,93.90,106.80
8.30,5.60,4.70,2.80,0.00,2.00,3.20,5.30,7.80,11.80,15.00,18.50,20.40,22.70,24.50,28.10,30.50,34.40,37.50,40.90,45.20,48.10,57.10,60.40,63.50,65.20,65.20,68.90,76.10,78.40,84.40,86.40,91.10,104.00
10.30,7.60,6.70,4.80,2.00,0.00,1.20,3.30,5.80,9.80,13.00,16.50,18.40,20.70,22.50,26.10,28.50,32.40,35.50,38.90,43.20,46.10,55.10,58.40,61.50,63.20,63.20,66.90,74.10,76.40,82.40,84.40,89.10,102.00
11.50,8.80,7.90,6.00,3.20,1.20,0.00,2.10,4.60,8.60,11.80,15.30,17.20,19.50,21.30,24.90,27.30,31.20,34.30,37.70,42.00,44.90,53.90,57.20,60.30,62.00,62.00,65.70,72.90,75.20,81.20,83.20,87.90,100.80
13.60,10.90,10.00,8.10,5.30,3.30,2.10,0.00,2.50,6.50,9.70,13.20,15.10,17.40,19.20,22.80,25.20,29.10,32.20,35.60,39.90,42.80,51.80,55.10,58.20,59.90,59.90,63.60,70.80,73.10,79.10,81.10,85.80,98.70
16.10,13.40,12.50,10.60,7.80,5.80,4.60,2.50,0.00,4.00,7.20,10.70,12.60,14.90,16.70,20.30,22.70,26.60,29.70,33.10,37.40,40.30,49.30,52.60,55.70,57.40,57.40,61.10,68.30,70.60,76.60,78.60,83.30,96.20
20.10,17.40,16.50,14.60,11.80,9.80,8.60,6.50,4.00,0.00,3.20,6.70,8.60,10.90,12.70,16.30,18.70,22.60,25.70,29.10,33.40,36.30,45.30,48.60,51.70,53.40,53.40,57.10,64.30,66.60,72.60,74.60,79.30,92.20
